WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (114.3669444 -8.2186111)",821.0,15.0,Kabupaten Banyuwangi,1501.0,2.0,-8.2186111,114.3669444,1.0
"POINT (111.655483 -7.627753)",823.0,15.0,Kabupaten Madiun,1502.0,2.0,-7.627753,111.655483,1.0
"POINT (111.466003 -7.867827)",824.0,15.0,Kabupaten Ponorogo,1503.0,2.0,-7.867827,111.466003,1.0
"POINT (111.3381593 -7.6493413)",825.0,15.0,Kabupaten Magetan,1504.0,2.0,-7.6493413,111.3381593,1.0
"POINT (111.08769 -8.204614)",826.0,15.0,Kabupaten Pacitan,1505.0,2.0,-8.204614,111.08769,1.0
"POINT (111.46193 -7.38993)",827.0,15.0,Kabupaten Ngawi,1506.0,2.0,-7.38993,111.46193,1.0
"POINT (112.7491266 -7.0218318)",828.0,15.0,Kabupaten Bangkalan,1507.0,2.0,-7.0218318,112.7491266,1.0
"POINT (112.152356 -7.809356)",829.0,15.0,Kabupaten Kediri,1508.0,2.0,-7.809356,112.152356,1.0
"POINT (113.813483 -7.917704)",830.0,15.0,Kabupaten Bondowoso,1509.0,2.0,-7.917704,113.813483,1.0
"POINT (112.262762 -8.2014419)",831.0,15.0,Kabupaten Blitar,1510.0,2.0,-8.2014419,112.262762,1.0
"POINT (111.7166667 -8.05)",832.0,15.0,Kabupaten Trenggalek,1511.0,2.0,-8.05,111.7166667,1.0
"POINT (111.9624846 -8.0863818)",833.0,15.0,Kabupaten Tulungagung,1512.0,2.0,-8.0863818,111.9624846,1.0
"POINT (111.901808 -7.602932)",834.0,15.0,Kabupaten Nganjuk,1513.0,2.0,-7.602932,111.901808,1.0
"POINT (114.0029835 -7.702534)",835.0,15.0,Kabupaten Situbondo,1514.0,2.0,-7.702534,114.0029835,1.0
"POINT (112.6884549 -8.0495643)",836.0,15.0,Kabupaten Malang,1515.0,2.0,-8.0495643,112.6884549,1.0
"POINT (113.700302 -8.172357)",837.0,15.0,Kabupaten Jember,1516.0,2.0,-8.172357,113.700302,1.0
"POINT (113.8579972 -7.0044621)",838.0,15.0,Kabupaten Sumenep,1517.0,2.0,-7.0044621,113.8579972,1.0
"POINT (112.7830736 -7.7251684)",839.0,15.0,Kabupaten Pasuruan,1518.0,2.0,-7.7251684,112.7830736,1.0
"POINT (113.4755923 -7.1278316)",840.0,15.0,Kabupaten Pamekasan,1519.0,2.0,-7.1278316,113.4755923,1.0
"POINT (113.4091152 -7.857368)",841.0,15.0,Kabupaten Probolinggo,1520.0,2.0,-7.857368,113.4091152,1.0
"POINT (113.226601 -8.137022)",842.0,15.0,Kabupaten Lumajang,1521.0,2.0,-8.137022,113.226601,1.0
"POINT (111.8327479 -7.1353713)",843.0,15.0,Kabupaten Bojonegoro,1522.0,2.0,-7.1353713,111.8327479,1.0
"POINT (112.007117 -6.8554655)",844.0,15.0,Kabupaten Tuban,1523.0,2.0,-6.8554655,112.007117,1.0
"POINT (112.399438 -7.0519318)",845.0,15.0,Kabupaten Lamongan,1524.0,2.0,-7.0519318,112.399438,1.0
"POINT (112.7173389 -7.4530278)",846.0,15.0,Kabupaten Sidoarjo,1525.0,2.0,-7.4530278,112.7173389,1.0
"POINT (113.2433383 -7.18602)",847.0,15.0,Kabupaten Sampang,1526.0,2.0,-7.18602,113.2433383,1.0
"POINT (112.513544 -7.5772494)",848.0,15.0,Kabupaten Mojokerto,1527.0,2.0,-7.5772494,112.513544,1.0
"POINT (112.6555 -7.15665)",849.0,15.0,Kabupaten Gresik,1528.0,2.0,-7.15665,112.6555,1.0
"POINT (112.2264794 -7.5468395)",850.0,15.0,Kabupaten Jombang,1529.0,2.0,-7.5468395,112.2264794,1.0
"POINT (112.4336111 -7.4722222)",851.0,15.0,Kota Mojokerto,1530.0,2.0,-7.4722222,112.4336111,1.0
"POINT (112.734398 -7.289166)",852.0,15.0,Kota Surabaya,1531.0,2.0,-7.289166,112.734398,1.0
"POINT (111.513702 -7.629714)",853.0,15.0,Kota Madiun,1532.0,2.0,-7.629714,111.513702,1.0
"POINT (112.15 -8.1)",854.0,15.0,Kota Blitar,1533.0,2.0,-8.1,112.15,1.0
"POINT (112.626503 -7.981894)",855.0,15.0,Kota Malang,1534.0,2.0,-7.981894,112.626503,1.0
"POINT (112.5239 -7.8671)",856.0,15.0,Kota Batu,1535.0,2.0,-7.8671,112.5239,1.0
"POINT (112.903297 -7.644872)",857.0,15.0,Kota Pasuruan,1536.0,2.0,-7.644872,112.903297,1.0
"POINT (112.011398 -7.816895)",858.0,15.0,Kota Kediri,1537.0,2.0,-7.816895,112.011398,1.0
"POINT (113.211502 -7.756928)",859.0,15.0,Kota Probolinggo,1538.0,2.0,-7.756928,113.211502,1.0
